okres;1THB;1USD;1AUD;1HKD;1CAD;1NZD;1SGD;1EUR;1HUF;1CHF;1GBP;1UAH;1JPY;1CZK;1DKK;100ISK;1NOK;1SEK;1HRK;1RON;1BGN;1TRY;1ILS;1CLP;1PHP;1MXN;1ZAR;1BRL;1MYR;1IDR;1INR;1KRW;1CNY
20210121;0,1247;3,7312;2,9007;0,4814;2,9577;2,6926;2,8205;4,531;1,2684;4,2053;5,1244;0,132;3,6079;0,1735;0,609;2,8897;0,4423;0,4487;0,599;0,9294;2,3166;0,5049;1,1393;0,5167;0,0776;0,1908;0,2515;0,7051;0,9259;0,0507;2,6652;5,1108;0,3394
20210122;0,1242;3,7255;2,8775;0,4806;2,9339;2,6769;2,8077;4,5354;1,2711;4,2102;5,092;0,1324;3,594;0,1737;0,6096;2,8925;0,4391;0,4495;0,5997;0,9302;2,3189;0,5044;1,1381;0,5193;0,0775;0,1877;0,2473;0,6962;0,9214;0,0499;2,6543;5,1048;0,3368
20210125;0,1247;3,7402;2,8886;0,4825;2,9417;2,695;2,818;4,5436;1,2715;4,216;5,1141;0,1327;3,6035;0,174;0,6107;2,894;0,4407;0,4515;0,6005;0,932;2,3231;0,5046;1,1415;0,514;0,0778;0,1873;0,2456;0,6842;0,9248;0,0496;2,6678;5,1256;0,3391
20210126;0,1251;3,7512;2,8866;0,4839;2,9425;2,7002;2,8254;4,5497;1,27;4,2183;5,1235;0,1332;3,6139;0,1741;0,6115;2,8979;0,4381;0,4513;0,6014;0,9332;2,3262;0,5076;1,1469;0,5118;0,078;0,1861;0,2454;0,6862;0,9266;0,0497;2,6671;5,1368;0,3393
20210127;0,1251;3,7507;2,8974;0,4839;2,9469;2,7089;2,8283;4,5468;1,2638;4,2215;5,1516;0,1331;3,6136;0,1747;0,6112;2,8961;0,4377;0,4502;0,6015;0,9326;2,3247;0,5096;1,1496;0,5116;0,078;0,1872;0,2484;0,7003;0,9271;0,0499;2,6695;5,1437;0,3392
20210128;0,1251;3,7566;2,8571;0,4846;2,9196;2,6719;2,8192;4,5479;1,262;4,2218;5,127;0,1332;3,601;0,174;0,6115;2,9004;0,432;0,4482;0,6014;0,9328;2,3253;0,5095;1,1402;0,5085;0,0781;0,1846;0,2461;0,6938;0,9285;0,0493;2,6696;5,1415;0,3359
20210129;0,1252;3,746;2,8639;0,4833;2,9146;2,684;2,8159;4,5385;1,266;4,2115;5,119;0,1332;3,5719;0,1743;0,6103;2,9074;0,4374;0,4481;0,5997;0,9308;2,3205;0,5118;1,1385;0,509;0,0779;0,1851;0,2475;0,6884;0,9265;0,0491;2,6697;5,1349;0,3354
20210201;0,1245;3,7323;2,8511;0,4814;2,9179;2,6796;2,8046;4,5137;1,2658;4,171;5,124;0,133;3,5589;0,1736;0,6069;2,8878;0,4344;0,4447;0,5959;0,9258;2,3078;0,5183;1,1368;0,5079;0,0776;0,1834;0,2475;0,6832;0,9233;0,0494;2,6622;5,1106;0,3336
20210202;0,1245;3,7311;2,8426;0,4814;2,9166;2,6789;2,8034;4,5025;1,2675;4,1634;5,1069;0,133;3,5562;0,1735;0,6054;2,8918;0,4352;0,4431;0,5938;0,9237;2,3021;0,5225;1,1305;0,5085;0,078;0,1843;0,2494;0,6868;0,9225;0,0492;2,6603;5,1121;0,3345
20210203;0,1243;3,7352;2,8448;0,4819;2,9193;2,6873;2,801;4,4906;1,2616;4,1555;5,0937;0,1335;3,5547;0,1731;0,6037;2,8767;0,4331;0,4432;0,5929;0,922;2,296;0,5214;1,1314;0,5098;0,0778;0,1855;0,2494;0,6958;0,922;0,0491;2,667;5,1184;0,3348
20210204;0,1248;3,7509;2,8618;0,4838;2,9297;2,7003;2,8087;4,4958;1,2636;4,1572;5,0955;0,1346;3,5644;0,1734;0,6046;2,8801;0,4347;0,4439;0,594;0,9223;2,2986;0,5246;1,1344;0,512;0,078;0,1855;0,2503;0,7006;0,9242;0,0497;2,6754;5,1398;0,3353
20210205;0,1248;3,7554;2,8605;0,4844;2,935;2,6893;2,808;4,4978;1,2618;4,159;5,1412;0,1353;3,5608;0,174;0,6049;2,8888;0,4369;0,4449;0,595;0,9226;2,2997;0,5298;1,1421;0,5105;0,0781;0,185;0,2512;0,692;0,9226;0,0501;2,6767;5,1498;0,3346
20210208;0,1242;3,7301;2,8593;0,4812;2,9206;2,6838;2,7933;4,4867;1,2528;4,1396;5,113;0,1349;3,5319;0,1739;0,6034;2,8965;0,4372;0,4442;0,5936;0,9203;2,294;0,5273;1,1356;0,5047;0,0776;0,1852;0,2502;0,6945;0,9175;0,0501;2,6643;5,1128;0,3327
20210209;0,1235;3,6972;2,8593;0,4769;2,9073;2,6795;2,7861;4,4773;1,2479;4,1378;5,0954;0,1337;3,5357;0,174;0,6021;2,9017;0,4367;0,4425;0,5922;0,9182;2,2892;0,5227;1,1362;0,5027;0,077;0,1846;0,2503;0,689;0,9133;0,05;2,6418;5,0734;0,3324
20210210;0,1236;3,6973;2,855;0,477;2,909;2,6651;2,7862;4,4809;1,2513;4,1469;5,1152;0,1331;3,528;0,1732;0,6025;2,8909;0,438;0,4451;0,5924;0,9192;2,291;0,524;1,1343;0,5033;0,0769;0,1836;0,2511;0,6874;0,9143;0,0501;2,6442;5,0743;0,334
20210211;0,1243;3,7117;2,8746;0,4787;2,927;2,6823;2,8018;4,5023;1,2619;4,1698;5,1346;0,1333;3,5462;0,1745;0,6053;2,8972;0,4382;0,4462;0,5952;0,9237;2,302;0,526;1,1391;0,5119;0,0772;0,1856;0,253;0,6891;0,9182;0,0503;2,6564;5,0945;0,336
20210212;0,1243;3,7186;2,8729;0,4798;2,9178;2,6727;2,8021;4,5029;1,2531;4,1676;5,1274;0,1335;3,5406;0,1748;0,6054;2,8939;0,4374;0,4466;0,5947;0,9236;2,3023;0,53;1,1446;0,512;0,0774;0,1854;0,2535;0,6929;0,9199;0,0501;2,6614;5,1105;0,336
20210215;0,1236;3,6949;2,8726;0,4766;2,917;2,6739;2,7935;4,4836;1,2485;4,1486;5,1353;0,1321;3,5061;0,1742;0,6029;2,8815;0,4389;0,4463;0,5922;0,9198;2,2924;0,5304;1,1373;0,5119;0,077;0,1855;0,256;0,6881;0,9158;0,0504;2,6555;5,084;0,3353
20210216;0,1237;3,694;2,8774;0,4765;2,9219;2,6822;2,7912;4,4891;1,2552;4,1568;5,1451;0,1328;3,5072;0,1747;0,6036;2,885;0,4415;0,4473;0,5927;0,9208;2,2952;0,5345;1,14;0,5135;0,0767;0,1849;0,2559;0,6879;0,9166;0,0504;2,6527;5,081;0,3353
20210217;0,1244;3,7287;2,8918;0,481;2,9348;2,6819;2,8075;4,4998;1,2532;4,1667;5,1769;0,1337;3,5189;0,1741;0,6051;2,8882;0,4403;0,4481;0,5943;0,9228;2,3007;0,5319;1,1444;0,5189;0,0771;0,1841;0,2535;0,6943;0,9231;0,0506;2,6596;5,1236;0,337
20210218;0,1238;3,7152;2,8902;0,4792;2,9289;2,681;2,7991;4,4857;1,2504;4,1436;5,1732;0,1334;3,5145;0,1735;0,6032;2,8791;0,4382;0,4469;0,5922;0,9201;2,2935;0,5331;1,1382;0,5209;0,0766;0,1844;0,2552;0,6866;0,9191;0,0504;2,649;5,1139;0,3358
20210219;0,1233;3,6997;2,8965;0,4772;2,9237;2,685;2,7939;4,4892;1,2513;4,1377;5,1755;0,1329;3,5108;0,1737;0,6037;2,8814;0,4383;0,4469;0,5924;0,9208;2,2953;0,5303;1,1313;0,5204;0,0764;0,1824;0,2535;0,6817;0,9156;0,0501;2,6304;5,1019;0,3352
20210222;0,1236;3,7135;2,9239;0,479;2,939;2,7125;2,8062;4,4963;1,2516;4,1288;5,2037;0,133;3,5151;0,1733;0,6046;2,8897;0,4358;0,4481;0,5933;0,9222;2,2989;0,5305;1,1337;0,524;0,0763;0,1795;0,2502;0,6899;0,9186;0,0497;2,6309;5,1217;0,3337
20210223;0,1236;3,7117;2,9318;0,4787;2,942;2,7159;2,8093;4,5093;1,254;4,1258;5,2294;0,1332;3,5256;0,1741;0,6063;2,9017;0,4369;0,447;0,5955;0,9245;2,3055;0,5292;1,1378;0,525;0,0762;0,1792;0,2523;0,679;0,9179;0,05;2,6338;5,1204;0,3336
20210224;0,1236;3,7145;2,9411;0,479;2,9553;2,7427;2,8144;4,5176;1,2575;4,0959;5,2607;0,1329;3,5115;0,1741;0,6075;2,9183;0,4402;0,448;0,5958;0,9265;2,3098;0,52;1,1366;0,5271;0,0764;0,1821;0,2551;0,6826;0,9188;0,0505;2,6371;5,1336;0,3353
20210225;0,1226;3,6943;2,956;0,4765;2,9599;2,7557;2,8058;4,5143;1,2533;4,077;5,2367;0,1324;3,4835;0,1729;0,6071;2,9486;0,4433;0,4492;0,5958;0,9265;2,3081;0,5139;1,1313;0,5271;0,076;0,1797;0,2518;0,6833;0,9145;0,0502;2,6232;5,1012;0,3335
20210226;0,1228;3,7247;2,9092;0,4803;2,9521;2,7274;2,8045;4,5175;1,2513;4,1205;5,1946;0,1333;3,4987;0,1727;0,6075;2,9545;0,4367;0,4469;0,596;0,9267;2,3097;0,5073;1,1279;0,5202;0,0766;0,1779;0,2494;0,6734;0,9202;0,0499;2,612;5,0608;0,3309
20210301;0,1243;3,7572;2,9049;0,4843;2,9589;2,7189;2,8208;4,5231;1,2467;4,1211;5,2396;0,1341;3,5195;0,1731;0,6083;2,939;0,4344;0,4442;0,5972;0,9275;2,3126;0,5137;1,1415;0,519;0,0772;0,1804;0,2492;0,6711;0,9261;0,0507;2,6357;5,1048;0,3349
20210302;0,1247;3,7765;2,9284;0,4869;2,9803;2,7312;2,8332;4,5345;1,2463;4,112;5,2367;0,1351;3,5332;0,1734;0,6098;2,9813;0,4412;0,447;0,5984;0,93;2,3184;0,5145;1,1425;0,5224;0,078;0,182;0,2504;0,6693;0,9305;0,0506;2,6363;5,1487;0,3361
20210303;0,1238;3,7509;2,9374;0,4836;2,9771;2,7381;2,8207;4,5393;1,2487;4,0981;5,245;0,1349;3,5092;0,1737;0,6104;2,9805;0,4442;0,4484;0,5987;0,9309;2,3209;0,5095;1,1394;0,5145;0,0773;0,1821;0,252;0,6608;0,926;0,0509;2,6332;5,1551;0,3346
20210304;0,1247;3,7851;2,9444;0,4879;2,9906;2,743;2,8391;4,554;1,2492;4,1003;5,2717;0,1364;3,526;0,1738;0,6124;2,9823;0,444;0,4479;0,6006;0,9337;2,3284;0,5073;1,143;0,5202;0,078;0,1813;0,2506;0,6735;0,9328;0,0512;2,6533;5,1963;0,3363
20210305;0,1259;3,8393;2,9469;0,4946;3,0231;2,7412;2,8628;4,5793;1,2498;4,1313;5,3056;0,1385;3,54;0,1739;0,6158;2,995;0,4468;0,4499;0,6046;0,9377;2,3413;0,5095;1,1586;0,5244;0,0789;0,1809;0,2505;0,6771;0,9423;0,0514;2,6847;5,2566;0,3398
20210308;0,1255;3,8665;2,9566;0,4976;3,0477;2,7499;2,8671;4,5903;1,2483;4,1416;5,3478;0,1392;3,5614;0,1738;0,6173;3,0022;0,4504;0,4508;0,6058;0,9398;2,347;0,5054;1,1583;0,5272;0,0794;0,1792;0,2488;0,6794;0,9413;0,0518;2,6924;5,278;0,3412
20210309;0,1251;3,8507;2,9669;0,496;3,0533;2,7598;2,8624;4,5844;1,2514;4,1266;5,3506;0,1389;3,5432;0,1746;0,6165;3,022;0,4546;0,4517;0,6048;0,9384;2,3439;0,5059;1,1592;0,5228;0,0793;0,1811;0,251;0,6553;0,9352;0,052;2,6741;5,28;0,3384
20210310;0,125;3,842;2,9623;0,495;3,0374;2,754;2,8537;4,5718;1,2464;4,1334;5,3434;0,1386;3,5353;0,1744;0,6148;3,0058;0,4538;0,4511;0,6027;0,9357;2,3375;0,5062;1,1567;0,5224;0,0791;0,1816;0,2523;0,6621;0,931;0,052;2,667;5,2695;0,3367
20210311;0,1253;3,8287;2,9773;0,4935;3,0434;2,7685;2,8579;4,5805;1,2511;4,1387;5,3411;0,138;3,5296;0,1746;0,6159;2,9957;0,4563;0,453;0,6037;0,9376;2,3419;0,5144;1,1587;0,5285;0,0791;0,1842;0,2562;0,675;0,9321;0,0521;2,6578;5,2704;0,3385
20210312;0,1251;3,8521;2,9839;0,4962;3,0669;2,7642;2,86;4,5909;1,253;4,1373;5,3591;0,1389;3,5304;0,175;0,6173;2,983;0,4542;0,4522;0,605;0,9398;2,3473;0,506;1,1607;0,54;0,0795;0,1847;0,2565;0,6958;0,9354;0,0523;2,6778;5,2906;0,3386
20210315;0,1251;3,8429;2,9783;0,495;3,0861;2,7666;2,857;4,5836;1,2477;4,1355;5,3553;0,1391;3,5227;0,1752;0,6164;2,9861;0,4553;0,4503;0,6045;0,9382;2,3435;0,5128;1,1597;0,5308;0,0793;0,186;0,2584;0,6922;0,9342;0,0526;2,6677;5,3026;0,3394
20210316;0,1253;3,8519;2,974;0,496;3,0848;2,7629;2,8614;4,5949;1,2508;4,1521;5,3262;0,1393;3,5275;0,1753;0,6179;3,0269;0,4548;0,4531;0,6062;0,9404;2,3493;0,5118;1,1657;0,5327;0,0792;0,1863;0,259;0,6859;0,9363;0,0528;2,6731;5,3096;0,3407
20210317;0,1256;3,8676;2,9897;0,4981;3,1017;2,7776;2,8729;4,6065;1,2535;4,1754;5,3758;0,1395;3,5451;0,176;0,6194;3,0386;0,456;0,4544;0,6079;0,9423;2,3552;0,5156;1,1756;0,5314;0,0794;0,1872;0,2595;0,6876;0,9384;0,0529;2,6807;5,3322;0,3427
20210318;0,1256;3,8705;3,0236;0,4985;3,1206;2,7978;2,8844;4,6224;1,2574;4,1837;5,4038;0,1398;3,55;0,1768;0,6216;3,0491;0,4596;0,4554;0,61;0,9457;2,3634;0,5177;1,176;0,5358;0,0795;0,1896;0,2634;0,6931;0,9414;0,0525;2,6861;5,337;0,344
20210319;0,1261;3,8865;3,0123;0,5004;3,1125;2,7833;2,894;4,6226;1,2554;4,182;5,4116;0,1401;3,5707;0,1769;0,6216;3,0332;0,4561;0,4549;0,6101;0,9462;2,3635;0,5341;1,1793;0,5393;0,08;0,1906;0,2639;0,6989;0,9462;0,0525;2,698;5,3598;0,344
20210322;0,1254;3,8768;2,9963;0,4993;3,1024;2,7781;2,8903;4,6138;1,2561;4,1828;5,3711;0,1401;3,5683;0,1767;0,6205;3,0555;0,4539;0,4539;0,6091;0,9443;2,359;0,49;1,175;0,5435;0,0799;0,1872;0,2623;0,7062;0,9423;0,0521;2,6918;5,3543;0,3435
20210323;0,1251;3,8746;2,9716;0,4988;3,0793;2,7296;2,8851;4,6073;1,2557;4,1704;5,3375;0,1398;3,5653;0,1759;0,6196;3,0963;0,452;0,4524;0,6083;0,9423;2,3557;0,4882;1,1747;0,5405;0,0796;0,1862;0,2596;0,7036;0,9399;0,0509;2,6916;5,3464;0,3427
20210324;0,1262;3,9098;2,9806;0,5033;3,1109;2,7342;2,9065;4,6273;1,2655;4,1825;5,3684;0,1403;3,5991;0,1759;0,6223;3,116;0,4543;0,4543;0,611;0,9464;2,3659;0,4926;1,1856;0,5407;0,0804;0,1888;0,2641;0,7081;0,9466;0,0515;2,7105;5,3903;0,3455
20210325;0,1262;3,9253;2,9838;0,5052;3,1225;2,738;2,9146;4,6358;1,271;4,1943;5,378;0,1404;3,5991;0,1765;0,6234;3,0988;0,4564;0,4552;0,6119;0,9486;2,3702;0,4907;1,1861;0,5394;0,0808;0,1879;0,2632;0,6983;0,9466;0,0516;2,7211;5,4043;0,3461
20210326;0,1265;3,9307;2,9947;0,5059;3,1257;2,7486;2,9194;4,6353;1,273;4,1814;5,4211;0,1405;3,5905;0,1773;0,6234;3,0902;0,4572;0,4552;0,6119;0,9485;2,37;0,4892;1,1817;0,542;0,081;0,1909;0,262;0,6958;0,948;0,0518;2,7264;5,4208;0,3477
20210329;0,1268;3,957;3,0186;0,509;3,1375;2,7598;2,9365;4,656;1,2837;4,2164;5,4645;0,1414;3,6092;0,178;0,6261;3,104;0,4592;0,4552;0,6145;0,9519;2,3806;0,4866;1,1843;0,5399;0,0816;0,1907;0,2635;0,6875;0,9548;0,0521;2,7394;5,444;0,3491
20210330;0,1268;3,9604;3,0242;0,5095;3,1468;2,7755;2,9404;4,6519;1,2811;4,204;5,4549;0,1421;3,5919;0,178;0,6256;3,1013;0,4629;0,4541;0,6143;0,9467;2,3785;0,4773;1,1912;0,5395;0,0816;0,1917;0,2648;0,6849;0,9543;0,0522;2,7351;5,4064;0,3492
20210331;0,1267;3,9676;3,0232;0,5104;3,15;2,7756;2,9518;4,6603;1,2812;4,2119;5,4679;0,1427;3,59;0,1783;0,6267;3,1425;0,4657;0,4556;0,6155;0,9462;2,3827;0,4742;1,1873;0,544;0,0817;0,1934;0,2682;0,6872;0,957;0,0525;2,7315;5,4171;0,3515
20210401;0,126;3,9428;2,98;0,5071;3,1322;2,7452;2,9279;4,6239;1,2775;4,1644;5,4316;0,1417;3,5594;0,1771;0,6217;3,1095;0,461;0,4506;0,6108;0,9414;2,3641;0,481;1,182;0,5473;0,0812;0,193;0,2674;0,6999;0,9511;0,052;2,7145;5,3719;0,3484
20210402;0,1247;3,8986;2,9678;0,5014;3,1031;2,7394;2,9013;4,5933;1,2729;4,1428;5,3937;0,1394;3,5317;0,176;0,6175;3,089;0,4573;0,4474;0,607;0,9354;2,3485;0,4851;1,1725;0,5436;0,0803;0,1922;0,2664;0,6829;0,9419;0,0512;2,684;5,3169;0,3457
20210406;0,1243;3,8973;2,9726;0,5011;3,1069;2,7388;2,9068;4,6041;1,2734;4,1553;5,3994;0,14;3,5301;0,1766;0,6189;3,0962;0,4578;0,4477;0,6082;0,9364;2,354;0,4777;1,1777;0,5402;0,0802;0,1915;0,2674;0,6881;0,9435;0,051;2,6869;5,3122;0,3478
20210407;0,1232;3,8611;2,9487;0,4961;3,066;2,7198;2,8821;4,5897;1,2733;4,1547;5,3406;0,1385;3,5149;0,1768;0,6172;3,0618;0,4556;0,4481;0,6058;0,9336;2,3467;0,4731;1,1708;0,5378;0,0793;0,1913;0,2659;0,6905;0,9341;0,0497;2,6638;5,2023;0,3455
20210408;0,122;3,8365;2,9268;0,493;3,0407;2,6954;2,8615;4,5581;1,2706;4,1353;5,2658;0,1372;3,5049;0,1766;0,6129;3,0266;0,4523;0,4467;0,6014;0,9262;2,3306;0,471;1,1671;0,5376;0,0789;0,1902;0,2642;0,6834;0,9274;0,0497;2,6395;5,1272;0,3437
20210409;0,1218;3,8208;2,911;0,4913;3,0342;2,6877;2,8475;4,5414;1,2661;4,1265;5,2393;0,1369;3,4843;0,1749;0,6106;3,0075;0,4488;0,4466;0,5996;0,9226;2,322;0,4708;1,1599;0,5395;0,0787;0,1894;0,2619;0,6862;0,924;0,0495;2,6233;5,1061;0,3413
20210412;0,1212;3,8144;2,9053;0,4904;3,0371;2,682;2,8431;4,533;1,2692;4,1222;5,2411;0,1364;3,4846;0,1739;0,6095;2,9881;0,4481;0,4451;0,599;0,9211;2,3177;0,4653;1,1576;0,5368;0,0785;0,1891;0,2605;0,6712;0,9227;0,0493;2,6135;5,0881;0,3391
20210413;0,1214;3,8342;2,9202;0,4933;3,0462;2,6964;2,8578;4,5627;1,2724;4,1473;5,2727;0,1369;3,5064;0,1751;0,6135;3,0038;0,4507;0,4481;0,6029;0,9269;2,3328;0,4719;1,1608;0,5375;0,079;0,1904;0,2633;0,6687;0,9273;0,0496;2,6253;5,0858;0,3413
20210414;0,1219;3,8065;2,927;0,4902;3,0349;2,7076;2,848;4,5552;1,2691;4,1413;5,2513;0,1362;3,4928;0,1756;0,6125;3,0028;0,4518;0,4487;0,6015;0,9251;2,329;0,4724;1,1582;0,5376;0,0786;0,1893;0,2621;0,6658;0,9223;0,0504;2,6067;5,0672;0,3421
20210415;0,1219;3,8014;2,9479;0,4894;3,0444;2,727;2,8488;4,5546;1,2692;4,1198;5,2376;0,136;3,4948;0,1755;0,6124;3,0024;0,4538;0,4495;0,6021;0,9248;2,3287;0,4714;1,1587;0,5357;0,0785;0,19;0,2657;0,6723;0,9214;0,0496;2,602;5,0621;0,3409
20210416;0,1214;3,7978;2,9397;0,4889;3,0341;2,7193;2,8469;4,5481;1,2604;4,1279;5,2235;0,1358;3,4881;0,1755;0,6115;2,9981;0,4528;0,4501;0,6011;0,9233;2,3254;0,4716;1,1579;0,5437;0,0786;0,1903;0,2665;0,6762;0,9202;0,0502;2,6075;5,1036;0,3409
20210419;0,1211;3,7816;2,9415;0,4867;3,0306;2,7198;2,8409;4,5474;1,2586;4,1348;5,2474;0,135;3,4988;0,1753;0,6115;3,0016;0,4555;0,4508;0,6006;0,9231;2,325;0,4706;1,1575;0,5381;0,0782;0,1906;0,266;0,6768;0,9169;0,0496;2,5995;5,0558;0,3392
20210420;0,1208;3,7737;2,9412;0,4861;3,0193;2,7226;2,8418;4,5541;1,2615;4,1257;5,2755;0,1348;3,4785;0,1758;0,6124;3,002;0,4556;0,4501;0,6015;0,9241;2,3285;0,465;1,1596;0,5386;0,0782;0,1901;0,2645;0,6804;0,917;0,0496;2,6028;5,0475;0,3391
20210421;0,1212;3,795;2,9272;0,4889;3,0126;2,7211;2,8529;4,5567;1,2583;4,1325;5,2862;0,1352;3,5073;0,1757;0,6128;3,0038;0,4532;0,4484;0,6015;0,9247;2,3298;0,467;1,1649;0,5446;0,0784;0,1906;0,2655;0,6815;0,9218;0,0494;2,6123;5,0173;0,3392
20210422;0,1209;3,7885;2,9322;0,4883;3,0293;2,7183;2,8519;4,5562;1,2544;4,1354;5,2655;0,1349;3,5067;0,1762;0,6127;3,0174;0,4547;0,45;0,6018;0,925;2,3295;0,4567;1,1607;0,5426;0,0783;0,1897;0,2652;0,6802;0,9212;0,0495;2,6091;5,0467;0,3386
20210423;0,1206;3,7855;2,9282;0,4877;3,0325;2,7179;2,8505;4,5649;1,2563;4,1354;5,2521;0,1356;3,508;0,1764;0,6139;3,0231;0,454;0,4502;0,6027;0,9266;2,334;0,4536;1,1634;0,5356;0,0782;0,1902;0,2646;0,6953;0,9213;0,0504;2,6062;5,0466;0,3391
20210426;0,1198;3,7657;2,9288;0,4853;3,0219;2,7168;2,8415;4,5565;1,2525;4,1189;5,2359;0,1352;3,4961;0,1765;0,6127;3,0136;0,4539;0,4498;0,6023;0,9255;2,3297;0,4527;1,1612;0,5279;0,0778;0,19;0,2646;0,6878;0,9183;0,0503;2,5998;5,0373;0,3389
20210427;0,1205;3,7826;2,9396;0,4873;3,0467;2,727;2,8514;4,5613;1,2561;4,1258;5,2426;0,1363;3,491;0,1763;0,6134;3,0368;0,4552;0,4494;0,6031;0,9258;2,3321;0,4578;1,1666;0,5365;0,0781;0,1898;0,2638;0,6958;0,9233;0,0504;2,6114;5,0659;0,34
20210428;0,1209;3,7939;2,9386;0,4887;3,0586;2,7356;2,8604;4,5811;1,2656;4,1415;5,2662;0,1366;3,4829;0,1765;0,6161;3,0581;0,4584;0,4529;0,6061;0,9294;2,3423;0,4625;1,1669;0,5404;0,0782;0,1893;0,2638;0,6958;0,9251;0,0507;2,6165;5,1037;0,3409
20210429;0,121;3,7786;2,9391;0,4868;3,0707;2,7394;2,8486;4,5782;1,2677;4,1509;5,2681;0,1362;3,4674;0,177;0,6157;3,0809;0,4607;0,4525;0,606;0,9293;2,3408;0,4619;1,1643;0,5427;0,0782;0,1898;0,2665;0,7072;0,9211;0,0509;2,615;5,1039;0,3408
